ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,demand_neg_rrp,demand_neg_rrp_lower,demand_neg_rrp_upper,demand_pos_rrp,demand_pos_rrp_lower,demand_pos_rrp_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,frac_at_neg_rrp,frac_at_neg_rrp_lower,frac_at_neg_rrp_upper,holiday_y,holiday_y_lower,holiday_y_upper,max_temperature,max_temperature_lower,max_temperature_upper,min_temperature,min_temperature_lower,min_temperature_upper,rainfall,rainfall_lower,rainfall_upper,rrp,rrp_lower,rrp_upper,rrp_negative,rrp_negative_lower,rrp_negative_upper,rrp_positive,rrp_positive_lower,rrp_positive_upper,school_day_y,school_day_y_lower,school_day_y_upper,solar_exposure,solar_exposure_lower,solar_exposure_upper,unnamed: 0,unnamed: 0_lower,unnamed: 0_upper,unnamed: 0.1,unnamed: 0.1_lower,unnamed: 0.1_upper,unnamed: 0.2,unnamed: 0.2_lower,unnamed: 0.2_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-10-13,128587.15632420976,118142.83559446136,118216.4124924857,128587.15632420976,128587.15632420976,-10407.091697020967,-10407.091697020967,-10407.091697020967,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-0.17832867624704407,-0.17832867624704407,-0.17832867624704407,-0.12710202730863812,-0.12710202730863812,-0.12710202730863812,0.0,0.0,0.0,118180.0646271888
2019-10-14,128599.4890084749,118155.37589259104,118232.20764943773,128599.4890084749,128599.4890084749,-10406.897038175497,-10406.897038175497,-10406.897038175497,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,0.037663690651107425,0.037663690651107425,0.037663690651107425,-0.14843554873732562,-0.14843554873732562,-0.14843554873732562,0.0,0.0,0.0,118192.59197029941
2019-10-15,128611.82169274006,118169.53723233861,118245.25045187295,128611.82169274006,128611.82169274006,-10406.908665467316,-10406.908665467316,-10406.908665467316,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,0.05058640446036765,0.05058640446036765,0.05058640446036765,-0.17298555436365393,-0.17298555436365393,-0.17298555436365393,0.0,0.0,0.0,118204.91302727275
2019-10-16,128624.15437700522,118177.74182480111,118256.39482231994,128624.15437700522,128624.15437700522,-10406.92609896909,-10406.92609896909,-10406.92609896909,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,0.0605000410614826,0.0605000410614826,0.0605000410614826,-0.20033269273951365,-0.20033269273951365,-0.20033269273951365,0.0,0.0,0.0,118217.22827803613
2019-10-17,128636.48706127038,118192.22732374251,118266.54846102031,128636.48706127038,128636.48706127038,-10406.951851444284,-10406.951851444284,-10406.951851444284,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,0.06440144853164563,0.06440144853164563,0.06440144853164563,-0.22998657540391615,-0.22998657540391615,-0.22998657540391615,0.0,0.0,0.0,118229.53520982609
2019-10-18,128648.81974553555,118203.68047981577,118278.90795695716,128648.81974553555,128648.81974553555,-10407.000779128988,-10407.000779128988,-10407.000779128988,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,0.04688312251854476,0.04688312251854476,0.04688312251854476,-0.26139593409499834,-0.26139593409499834,-0.26139593409499834,0.0,0.0,0.0,118241.81896640657
2019-10-19,128661.1524298007,118215.7289418355,118293.53601851659,128661.1524298007,128661.1524298007,-10407.161932607041,-10407.161932607041,-10407.161932607041,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-0.08170603097578887,-0.08170603097578887,-0.08170603097578887,-0.2939602586527639,-0.2939602586527639,-0.2939602586527639,0.0,0.0,0.0,118253.99049719366
2019-10-20,128673.48511406584,118227.11782718786,118302.22413504707,128673.48511406584,128673.48511406584,-10407.29163764369,-10407.29163764369,-10407.29163764369,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-0.17832867624690923,-0.17832867624690923,-0.17832867624690923,-0.3270426500302942,-0.3270426500302942,-0.3270426500302942,0.0,0.0,0.0,118266.19347642215
2019-10-21,128685.81779833102,118241.40208310331,118314.72568887698,128685.81779833102,128685.81779833102,-10407.108586219309,-10407.108586219309,-10407.108586219309,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,0.03766369065088865,0.03766369065088865,0.03766369065088865,-0.35998359254613455,-0.35998359254613455,-0.35998359254613455,0.0,0.0,0.0,118278.7092121117
2019-10-22,128698.15048259617,118254.84957835554,118331.29559197162,128698.15048259617,128698.15048259617,-10407.127795239336,-10407.127795239336,-10407.127795239336,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,0.05058640446026941,0.05058640446026941,0.05058640446026941,-0.3921153263835812,-0.3921153263835812,-0.3921153263835812,0.0,0.0,0.0,118291.02268735683
2019-10-23,128710.48316686132,118266.253646441,118342.81128510297,128710.48316686132,128710.48316686132,-10407.148542762316,-10407.148542762316,-10407.148542762316,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,0.06050004106146191,0.06050004106146191,0.06050004106146191,-0.42277648596436507,-0.42277648596436507,-0.42277648596436507,0.0,0.0,0.0,118303.334624099
2019-10-24,128722.81585112649,118276.72614102549,118355.41232325797,128722.81585112649,128722.81585112649,-10407.17319153148,-10407.17319153148,-10407.17319153148,-783.2231861911235,-783.2231861911235,-783.2231861911235,3355.203012387252,3355.203012387252,3355.203012387252,-10406.786266317411,-10406.786266317411,-10406.786266317411,0.048830603840361544,0.048830603840361544,0.048830603840361544,0.0,0.0,0.0,-0.08660430047858599,-0.08660430047858599,-0.08660430047858599,0.07104159833777283,0.07104159833777283,0.07104159833777283,-0.0012618927837668157,-0.0012618927837668157,-0.0012618927837668157,-0.01861820487390219,-0.01861820487390219,-0.01861820487390219,-0.00887450005439054,-0.00887450005439054,-0.00887450005439054,0.04674737123728267,0.04674737123728267,0.04674737123728267,0.0,0.0,0.0,0.0644581746105187,0.0644581746105187,0.0644581746105187,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,-4326.293937121125,0.06440144853163537,0.06440144853163537,0.06440144853163537,-0.4513266625978776,-0.4513266625978776,-0.4513266625978776,0.0,0.0,0.0,118315.64265959502
